BusinessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,City,State,Zip,Property_ID,Location
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,15-4-202.16,*,Non-Food Contact Surfaces,1/6/15 17:11,Fail,,remove ice buildup from interior of walk in freezer.Ice is present on floor  shelving and ceiling.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,23-4-602.13,*,Non-Food Contact Surfaces Clean,1/13/15 14:32,Pass,1/13/15 15:31,clean 2 bottom ovens on the hot line.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,17-4-204.112/.115,*,Equipment Thermometers,1/6/15 17:11,Fail,,Provide thermometer for the walk in cooler located in the basement.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,1/6/15 17:11,Fail,,Provide proper storage of wiping cloths. Keep in a sanitizing solution when not in use.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,1/13/15 14:32,Pass,1/13/15 15:31,Provide proper storage of wiping cloths. Keep in a sanitizing solution when not in use.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,41-7-102.11,***,Labeled  Common Name,1/6/15 17:11,Fail,,Label all spray bottles containing toxic chemicals.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,04-3-501.15/4-301.11,*,Inadequate Facilities/Cooling Methods,1/6/15 17:11,Fail,,2 Door reach in (on prep line)....48 Degrees F. Provide temperature of 41 degrees or below for unit.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,04-3-501.15/4-301.11,*,Inadequate Facilities/Cooling Methods,1/13/15 14:32,Pass,1/13/15 15:31,2 Door reach in (on prep line)....48 Degrees F. Provide temperature of 41 degrees or below for unit.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,17-4-204.112/.115,*,Equipment Thermometers,1/13/15 14:32,Pass,1/13/15 15:31,Provide thermometer for the walk in cooler located in the basement.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,41-7-102.11,***,Labeled  Common Name,1/13/15 14:32,Pass,1/13/15 15:31,Label all spray bottles containing toxic chemicals.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,15-4-202.16,*,Non-Food Contact Surfaces,1/13/15 14:32,Pass,1/13/15 15:31,remove ice buildup from interior of walk in freezer.Ice is present on floor  shelving and ceiling.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,23-4-602.13,*,Non-Food Contact Surfaces Clean,1/6/15 17:11,Fail,,clean 2 bottom ovens on the hot line.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,1/6/15 17:11,Fail,,Repair wall at basement stairs. Repair damaged plaster/wall surface.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
224 BOSTON STREET,,TYO KEVIN,TYO,KEVIN,21328,12/7/11 11:05,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,1/13/15 14:32,Pass,1/13/15 15:31,Repair wall at basement stairs. Repair damaged plaster/wall surface.,224   Boston ST,Dorchester,MA,2125,156048,"(42.322272, -71.060848)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,1/16/15 10:57,Fail,,finish ceiling in the basement. Ceiling should be smooth  durable and easy to clean.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,44-4-802/03.11,*,Soiled Linen Storage,1/16/15 10:57,Fail,,Provide cover for soiled linen contAINER,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,08-3-305-307.11,*,Food Protection,1/16/15 10:57,Fail,,provide overhead protection for the ice machine in the basement. Ensure that the ice is protected at all times.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,15-4-202.16,*,Non-Food Contact Surfaces,1/20/15 10:08,Pass,1/21/15 7:57,seal railing on stairs leading up to kitchen from basement.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,44-4-802/03.11,*,Soiled Linen Storage,1/20/15 10:08,Pass,1/21/15 7:57,Provide cover for soiled linen contAINER,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,1/20/15 10:08,Pass,1/21/15 7:57,ensure that ALL hand sinks have hand soap and paper towels.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,15-4-202.16,*,Non-Food Contact Surfaces,1/16/15 10:57,Fail,,seal railing on stairs leading up to kitchen from basement.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,1/16/15 10:57,Fail,,ensure that ALL hand sinks have hand soap and paper towels.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,08-3-305-307.11,*,Food Protection,1/20/15 10:08,Pass,1/21/15 7:57,provide overhead protection for the ice machine in the basement. Ensure that the ice is protected at all times.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
412 Broadway,,CHEW PETER,Eric Aulenback,Michael Colon,134050,1/21/15 10:58,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,1/20/15 10:08,Pass,1/21/15 7:57,finish ceiling in the basement. Ceiling should be smooth  durable and easy to clean.,412 W Broadway,South Boston,MA,2127,156328,"(42.337039, -71.047689)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,3/25/15 11:15,Fail,,kitchen/replace missing ceiling tiles clean dust from vents and light shields,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,38-6-303.11,*,Inadequate Lighting,3/25/15 11:15,Fail,,rear hot line/replace burnt out light,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,29-5-201/02.11,*,Installed and Maintained,3/25/15 11:15,Fail,,bar/repair leak from drain under ice machine repair dipper well,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,23-4-602.13,*,Non-Food Contact Surfaces Clean,3/25/15 11:15,Fail,,hot line/clean all silver shelving clean exterior condensor to white ice cream chest,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,38-6-202.11,*,Fixture's not properly shielded,3/25/15 11:15,Fail,,dishroom/provide proper light shield walk in/replace missing light shield,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,03-3-501.16(A),***,Cold Holding,3/25/15 11:15,Fail,,6 door drawer/cheese and sauce 50 degrees/provide proper temperature of 41 degrees or below,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,22-4-601/602.11,**,Food Contact Surfaces Clean,3/25/15 11:15,Fail,,ice machine/clean interior and remove damaged interior gaskets,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,36-6-501.11-.12,*,Improper Maintenance of Floors,3/25/15 11:15,Fail,,bar/remove stagnate water from floor burger prep area/clean floor area under all shelving,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,3/25/15 11:15,Fail,,bar/store all wiping cloths in a sanitizing solution,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,02-3-602.11-.12/3-302.12,*,Food Container Labels,3/25/15 11:15,Fail,,bar/properly label all spray bottles,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,3/25/15 11:15,Fail,,bar handsink/provide employee must wash hands signage ladies restroom/provide refill of liquid pump soap dishroom handsink/repair soap dispenser,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,35-6-501.111/.115,**,Insects  Rodents  Animals,3/25/15 11:15,Fail,,kitchen/remove evidence of rodent droppings from interior silver cabunet,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,14-4-202.11,*,Food Contact Surfaces Design,3/25/15 11:15,Fail,,resurface/replace all worn white cutting boards,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
5 Napkin Burger,,,Verdi L L C,,74369,1/26/12 14:18,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,17-4-204.112/.115,*,Equipment Thermometers,3/25/15 11:15,Fail,,hot line/provide accurate internal thermometers dishmachine/repair wash gauge,101   Huntington AV,Boston,MA,2199,340845,"(42.346865, -71.080632)"
75 On Liberty Wharf,,Liberty Wharf,Hampshire House Corp.,,79483,10/24/12 10:44,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Filed,36-6-201.11,*,Floors Designed Constructed Installed,2/19/15 12:03,Fail,,In the kitchen  keep all supplies 6 inches off the floor.,220   Northern AV,Boston,MA,2210,342823,
75 On Liberty Wharf,,Liberty Wharf,Hampshire House Corp.,,79483,10/24/12 10:44,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Filed,42-6-501.113/.114,*,Premises Maintained,2/19/15 12:03,Fail,,Keep all employees personal belongings away from the service area wait side. Keep all brooms and mops 6 inches off the floor.,220   Northern AV,Boston,MA,2210,342823,
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,23-4-602.13,*,Non-Food Contact Surfaces Clean,2/11/15 11:28,Pass,2/12/15 8:56,Clean exterior / interior   especially the gaskets of all refrigeration units from visible food spills  stains and soils Clean exterior of popcorn machine from butter and oil deposits being left behind from the popping of the kernals Clean exterior of all ware washing machines from all visible food spills  stains and soils,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,42-6-501.113/.114,*,Premises Maintained,2/3/15 11:37,Fail,,Relocate soiled jacket being hung too close to the clean storage of dishes which is commonly used by staff to enter the walk-in freezer -  relocate shovels and brooms and mop buckets also being stored too close to the same area,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,16-4-501.11/.15,*,Dishwashng Facilities,2/3/15 11:37,Fail,,"Repair visibly rusted / heavily soiled areas of the glass dish washer as discussed during inspection - 	air gap may have occured in the lines  [ replace ]",29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Pass,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2/12/15 10:45,Pass,2/13/15 14:17,Clean walls throughout the kitchen area [ especially behind the cooking line ] vents in the hood from all visible food spills  stains and soils,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,20-4-703.11,***,Food Contact Surfaces Clean,2/11/15 11:28,Pass,2/12/15 8:56,Glass washer behind the bar is not operating properly - no reading on chlorine test strips - Contact maintanance Company,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2/11/15 11:28,Fail,,Clean walls throughout the kitchen area [ especially behind the cooking line ] vents in the hood from all visible food spills  stains and soils,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,16-4-501.11/.15,*,Dishwashng Facilities,2/11/15 11:28,Pass,2/12/15 8:56,"Repair visibly rusted / heavily soiled areas of the glass dish washer as discussed during inspection - 	air gap may have occured in the lines  [ replace ]",29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,2/11/15 11:28,Pass,2/12/15 8:56,Provide proper signage in men's rest room to wash hands before returning to work,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_FailExt,24-4-903.11,*,Clean Equipment & Utensils Storage,2/11/15 11:28,Pass,2/12/15 8:56,Clean inside the black container holding clean plates - interior has visible food soils from previous usage,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,20-4-703.11,***,Food Contact Surfaces Clean,2/3/15 11:37,Fail,,Glass washer behind the bar is not operating properly - no reading on chlorine test strips - Contact maintanance Company,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
99 RESTAURANT AND PUB,,,O'Charley's Inc.,Attn: Lic.Compliance,19530,1/9/12 14:42,12/31/15 23:59,Active,FS,Eating & Drinking,HE_Fail,36-6-501.11-.12,*,Improper Maintenance of Floors,2/3/15 11:37,Fail,,Clean floors throughout the kitchen   including walk-ins from all visible soils,29   Austin ST,Charlestown,MA,2129,155829,"(42.374884, -71.067065)"
